,i,result,mae,result_parameter,mae_parameter,columns,parameter,sampling
0,1,0.6832325096577196,31848.424670381777,0.6836398903060393,31869.465795700988,['OverallQual'],{},SMOTE
1,2,0.7472850278038883,28873.994170850077,0.7431352434303554,29288.011627839533,"['OverallQual', 'GrLivArea']",{},SMOTE
2,3,0.7981802134965201,26630.82182647765,0.80379909488377,26114.161018139996,"['OverallQual', 'GrLivArea', 'GarageCars']",{},SMOTE
3,4,0.8129969416296189,23964.64502943841,0.8101994265182246,24094.051226773798,"['OverallQual', 'GrLivArea', 'GarageCars', 'GarageArea']",{},SMOTE
4,5,0.841815749324093,22299.03418830675,0.8396230119003817,22431.213213130097,"['OverallQual', 'TotalBsmtSF', 'GrLivArea', 'GarageCars', 'GarageArea']",{},SMOTE
5,6,0.8372358283427053,22222.9971233732,0.8392881359177513,22177.35469536875,"['OverallQual', 'TotalBsmtSF', 'GrLivArea', 'GarageCars', 'GarageArea', 'ExterQual_TA']",{},SMOTE
6,7,0.8356024981138599,22171.03138972595,0.8476712868671858,21835.67843315073,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'GarageCars', 'GarageArea', 'ExterQual_TA']",{},SMOTE
7,8,0.8440267923678705,21951.03329671033,0.8493791698222903,21559.647888734173,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'GarageCars', 'GarageArea', 'ExterQual_TA']",{},SMOTE
8,9,0.8422719371027791,22084.679039636718,0.8463995450332443,21775.756728828062,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex']",{},SMOTE
