,i,result,mae,result_parameter,mae_parameter,columns,parameter,sampling
0,1,0.6823462908103488,31914.114299023575,0.6827047343824836,31893.667584899362,['OverallQual'],{},SMOTE
1,2,0.7451305374263806,28911.46455977118,0.7534572745484661,28754.483252312868,"['OverallQual', 'GrLivArea']",{},SMOTE
2,3,0.798126849150472,26430.099812481916,0.80302116902856,26220.032738684924,"['OverallQual', 'GrLivArea', 'GarageCars']",{},SMOTE
3,4,0.8125182315615278,24058.742728323996,0.8171104452838173,23684.89291231181,"['OverallQual', 'GrLivArea', 'GarageCars', 'GarageArea']",{},SMOTE
4,5,0.8340121288181191,22468.051963322065,0.8369600208137414,22216.5700029626,"['OverallQual', 'TotalBsmtSF', 'GrLivArea', 'GarageCars', 'GarageArea']",{},SMOTE
5,6,0.8426093333249675,21913.313787189407,0.8420853504500341,22049.80294286744,"['OverallQual', 'TotalBsmtSF', 'GrLivArea', 'GarageCars', 'GarageArea', 'ExterQual_TA']",{},SMOTE
6,7,0.841334337325444,21916.019922219042,0.8454272123483769,21864.437811999647,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'GarageCars', 'GarageArea', 'ExterQual_TA']",{},SMOTE
7,8,0.8453147328158006,21811.698216276305,0.8424733420920825,22106.928512879433,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'GarageCars', 'GarageArea', 'ExterQual_TA']",{},SMOTE
8,9,0.8446719260915629,21771.060137818415,0.8454732664337222,21850.9780357523,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex']",{},SMOTE
