,Brand,Price,Memory,Display,Battery,Warranty
77,"vivo T1X (Gravity Black, 64 GB)","₹11,999",4 GB RAM | 64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
78,"vivo T1X (Gravity Black, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
79,"POCO M4 Pro (Power Black, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery
80,"POCO C55 (Power Black, 128 GB)","₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
81,Nokia 105 SS,"₹1,299",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery
82,"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹6,299",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery
83,"Infinix Hot 12 (Polar Black, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM,17.32 cm (6.82 inch) HD+ Display,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery
84,"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,999",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery
85,"MOTOROLA g72 (Polar Blue, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery
86,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery
87,"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM,17.32 cm (6.82 inch) HD+ Display,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery
88,"realme C30 (Bamboo Green, 32 GB)","₹5,999",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery
89,"realme C30 (Lake Blue, 32 GB)","₹5,999",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery
90,"Infinix Smart 6 HD (Force Black, 32 GB)","₹6,299",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery
91,"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹6,299",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery
92,"APPLE iPhone 11 (White, 64 GB)","₹41,499",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
93,"vivo T1X (Space Blue, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
94,"vivo T1X (Gravity Black, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
95,"vivo V27 5G (Magic Blue, 256 GB)","₹36,999",12 GB RAM | 256 GB ROM,17.22 cm (6.78 Inch) Full HD+ AMOLED Display,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,4600 mAh Battery
96,"realme C30 (Denim Black, 32 GB)","₹6,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery
97,"POCO M4 Pro (Yellow, 128 GB)","₹13,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery
98,"POCO C50 (Country Green, 32 GB)","₹6,749",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery
99,"vivo T1X (Space Blue, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
100,"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery
101,"POCO X5 Pro 5G (Astral Black, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
102,"realme C30 (Lake Blue, 32 GB)","₹6,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery
103,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery
104,"POCO M4 Pro (Power Black, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery
105,"APPLE iPhone 13 (Midnight, 128 GB)","₹62,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
106,"vivo T1 44W (Starry Sky, 128 GB)","₹17,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery
107,"POCO M4 Pro 5G (Yellow, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery
108,"Infinix Hot 20 5G (Space Blue, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery
109,"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery
110,"APPLE iPhone 14 Plus (Purple, 128 GB)","₹80,999",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
111,"Infinix Hot 12 Pro (Electric Blue, 64 GB)","₹9,799",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,50 MP + Depth Lens | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery
112,"APPLE iPhone 13 (Pink, 128 GB)","₹62,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
113,"realme C33 (Night Sea, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery
114,LAVA Hero Punch,₹888,24 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,0MP Front Camera,620 mAh Li-ion Battery
115,"realme C30 (Bamboo Green, 32 GB)","₹6,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery
116,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)","₹23,999",6 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery
117,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery
118,"realme C35 (Glowing Green, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery
119,"realme C35 (Glowing Green, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery
